company_id,pro_count,con_count,pro_score,con_score,net_score,normalized_score,sentiment,strongest_pro_rule,strongest_pro_text,strongest_pro_confidence,strongest_con_rule,strongest_con_text,strongest_con_confidence
HEROMOTOCO,5,1,435.0,85.0,350.0,58.33,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,CON12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85.0
HINDALCO,3,0,260.0,0.0,260.0,86.67,Strong Positive,PRO5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.0,,,0.0
HINDUNILVR,4,1,360.0,85.0,275.0,55.0,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
ICICIBANK,5,2,455.0,185.0,270.0,38.57,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,95.0
ICICIGI,5,0,440.0,0.0,440.0,88.0,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,,,0.0
ICICIPRULI,3,1,265.0,90.0,175.0,43.75,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
INDIGO,8,0,725.0,0.0,725.0,90.62,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
INDUSINDBK,5,1,455.0,90.0,365.0,60.83,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
INFY,5,0,440.0,0.0,440.0,88.0,Strong Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,,,0.0
IOC,4,0,355.0,0.0,355.0,88.75,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,,,0.0
IRCTC,7,1,630.0,85.0,545.0,68.12,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
IRFC,5,2,460.0,185.0,275.0,39.29,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,95.0
ITC,6,0,530.0,0.0,530.0,88.33,Strong Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,,,0.0
JINDALSTEL,0,1,0.0,85.0,-85.0,-85.0,Negative,,,0.0,CON12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85.0
JIOFIN,5,1,445.0,90.0,355.0,59.17,Strong Positive,PRO3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
JSWENERGY,3,3,275.0,260.0,15.0,2.5,Neutral,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
JSWSTEEL,2,0,175.0,0.0,175.0,87.5,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
KOTAKBANK,3,2,270.0,185.0,85.0,17.0,Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,CON6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,95.0
LICI,6,0,550.0,0.0,550.0,91.67,Strong Positive,PRO3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0,,,0.0
LODHA,2,1,170.0,85.0,85.0,28.33,Positive,PRO5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.0,CON12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85.0
LT,3,2,255.0,170.0,85.0,17.0,Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,CON3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
LTIM,7,1,630.0,85.0,545.0,68.12,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
M&M,1,0,90.0,0.0,90.0,90.0,Positive,PRO9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.0,,,0.0
MARUTI,4,0,345.0,0.0,345.0,86.25,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,,,0.0
MOTHERSON,4,0,345.0,0.0,345.0,86.25,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,,,0.0
NAUKRI,4,1,355.0,90.0,265.0,53.0,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
NESTLEIND,5,0,450.0,0.0,450.0,90.0,Strong Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,,,0.0
NHPC,3,3,270.0,260.0,10.0,1.67,Neutral,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
NTPC,2,0,170.0,0.0,170.0,85.0,Strong Positive,PRO5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.0,,,0.0
ONGC,2,0,180.0,0.0,180.0,90.0,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,,,0.0
PFC,2,2,180.0,185.0,-5.0,-1.25,Neutral,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,CON6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,95.0
PIDILITIND,2,0,170.0,0.0,170.0,85.0,Strong Positive,PRO7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0,,,0.0
PNB,2,1,185.0,90.0,95.0,31.67,Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
POWERGRID,3,0,270.0,0.0,270.0,90.0,Strong Positive,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,,,0.0
RECLTD,2,1,180.0,90.0,90.0,30.0,Positive,PRO5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.0,CON2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
RELIANCE,1,1,90.0,90.0,0.0,0.0,Neutral,PRO8,Consistent dividend yield above 2% backed by positive free cash flow,90.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
SBILIFE,4,0,360.0,0.0,360.0,90.0,Strong Positive,PRO3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0,,,0.0
SBIN,1,1,95.0,90.0,5.0,2.5,Neutral,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,CON10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,90.0
SHREECEM,3,0,260.0,0.0,260.0,86.67,Strong Positive,PRO7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0,,,0.0
SHRIRAMFIN,4,2,365.0,185.0,180.0,30.0,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,95.0
SIEMENS,4,0,355.0,0.0,355.0,88.75,Strong Positive,PRO7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0,,,0.0
SUNPHARMA,6,0,535.0,0.0,535.0,89.17,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,,,0.0
TATACONSUM,4,1,370.0,85.0,285.0,57.0,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
TATAMOTORS,3,0,255.0,0.0,255.0,85.0,Strong Positive,PRO8,Consistent dividend yield above 2% backed by positive free cash flow,90.0,,,0.0
TATAPOWER,2,0,175.0,0.0,175.0,87.5,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
TATASTEEL,1,6,90.0,533.0,-443.0,-63.29,Strong Negative,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,CON4,Company reported a net loss in the most recent financial year,98.0
TCS,6,0,525.0,0.0,525.0,87.5,Strong Positive,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90.0,,,0.0
TECHM,3,3,260.0,270.0,-10.0,-1.67,Neutral,PRO2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0,CON7,"Dividend payout ratio above 100% means the company is paying dividends from reserves, which is unsustainable",95.0
TITAN,7,1,625.0,85.0,540.0,67.5,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,CON8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
TORNTPHARM,5,0,450.0,0.0,450.0,90.0,Strong Positive,PRO6,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0,,,0.0
TRENT,5,0,455.0,0.0,455.0,91.0,Strong Positive,PRO4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0,,,0.0
TVSMOTOR,2,2,175.0,185.0,-10.0,-2.5,Neutral,PRO9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.0,CON1,Debt-to-equity ratio of 3.83 is elevated for a non-financial company and warrants monitoring,95.0
