company_id,sentiment,pro_count,con_count,pro_score,con_score,net_score,normalized_score,strongest_pro_rule,strongest_pro_confidence,strongest_con_rule,strongest_con_confidence,investment_summary
AXISBANK,Strong Positive,3,1,275.0,90.0,185.0,46.25,PRO6,95.0,CON10,90.0,AXISBANK shows a strong positive investment profile with a normalized score of 46.25. The analysis identifies 3 positive signals and 1 negative signal. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
BAJAJ-AUTO,Strong Positive,4,1,360.0,85.0,275.0,55.0,PRO1,90.0,CON8,85.0,BAJAJ-AUTO shows a strong positive investment profile with a normalized score of 55.00. The analysis identifies 4 positive signals and 1 negative signal. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency Key risk factor: Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
BAJAJFINSV,Strong Positive,5,2,460.0,175.0,285.0,40.71,PRO4,95.0,CON2,90.0,BAJAJFINSV shows a strong positive investment profile with a normalized score of 40.71. The analysis identifies 5 positive signals and 2 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Free cash flow negative for 3 consecutive years raises concern about cash generation quality
BAJAJHLDNG,Strong Positive,8,0,700.0,0.0,700.0,87.5,PRO4,95.0,,0.0,BAJAJHLDNG shows a strong positive investment profile with a normalized score of 87.50. The analysis identifies 8 positive signals and 0 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum No qualifying negative factor was identified.
BAJFINANCE,Strong Positive,5,1,460.0,90.0,370.0,61.67,PRO4,95.0,CON2,90.0,BAJFINANCE shows a strong positive investment profile with a normalized score of 61.67. The analysis identifies 5 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Free cash flow negative for 3 consecutive years raises concern about cash generation quality
BANKBARODA,Strong Positive,5,1,455.0,90.0,365.0,60.83,PRO4,95.0,CON10,90.0,BANKBARODA shows a strong positive investment profile with a normalized score of 60.83. The analysis identifies 5 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
BEL,Strong Positive,3,0,265.0,0.0,265.0,88.33,PRO1,90.0,,0.0,BEL shows a strong positive investment profile with a normalized score of 88.33. The analysis identifies 3 positive signals and 0 negative signals. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency No qualifying negative factor was identified.
BHARTIARTL,Strong Positive,3,1,275.0,95.0,180.0,45.0,PRO6,95.0,CON1,95.0,BHARTIARTL shows a strong positive investment profile with a normalized score of 45.00. The analysis identifies 3 positive signals and 1 negative signal. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value Key risk factor: Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring
BHEL,Strong Negative,1,3,80.0,260.0,-180.0,-45.0,PRO11,80.0,CON10,90.0,BHEL shows a strong negative investment profile with a normalized score of -45.00. The analysis identifies 1 positive signal and 3 negative signals. Key positive factor: Revenue growing slower than profits shows improving operating leverage and scale benefits Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
BOSCHLTD,Strong Positive,5,0,435.0,0.0,435.0,87.0,PRO2,90.0,,0.0,BOSCHLTD shows a strong positive investment profile with a normalized score of 87.00. The analysis identifies 5 positive signals and 0 negative signals. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals No qualifying negative factor was identified.
BPCL,Strong Positive,4,0,355.0,0.0,355.0,88.75,PRO6,95.0,,0.0,BPCL shows a strong positive investment profile with a normalized score of 88.75. The analysis identifies 4 positive signals and 0 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value No qualifying negative factor was identified.
BRITANNIA,Strong Positive,2,0,180.0,0.0,180.0,90.0,PRO1,90.0,,0.0,BRITANNIA shows a strong positive investment profile with a normalized score of 90.00. The analysis identifies 2 positive signals and 0 negative signals. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency No qualifying negative factor was identified.
CANBK,Strong Positive,5,1,455.0,90.0,365.0,60.83,PRO4,95.0,CON10,90.0,CANBK shows a strong positive investment profile with a normalized score of 60.83. The analysis identifies 5 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
CHOLAFIN,Strong Positive,5,2,460.0,175.0,285.0,40.71,PRO4,95.0,CON2,90.0,CHOLAFIN shows a strong positive investment profile with a normalized score of 40.71. The analysis identifies 5 positive signals and 2 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Free cash flow negative for 3 consecutive years raises concern about cash generation quality
CIPLA,Strong Positive,6,0,535.0,0.0,535.0,89.17,PRO6,95.0,,0.0,CIPLA shows a strong positive investment profile with a normalized score of 89.17. The analysis identifies 6 positive signals and 0 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value No qualifying negative factor was identified.
COALINDIA,Strong Positive,6,0,540.0,0.0,540.0,90.0,PRO1,90.0,,0.0,COALINDIA shows a strong positive investment profile with a normalized score of 90.00. The analysis identifies 6 positive signals and 0 negative signals. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency No qualifying negative factor was identified.
DABUR,Strong Positive,4,1,350.0,85.0,265.0,53.0,PRO2,90.0,CON8,85.0,DABUR shows a strong positive investment profile with a normalized score of 53.00. The analysis identifies 4 positive signals and 1 negative signal. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals Key risk factor: Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
DIVISLAB,Strong Positive,4,2,340.0,175.0,165.0,27.5,PRO5,90.0,CON9,90.0,DIVISLAB shows a strong positive investment profile with a normalized score of 27.50. The analysis identifies 4 positive signals and 2 negative signals. Key positive factor: Operating profit margin above 25% indicates strong pricing power and cost discipline Key risk factor: Earnings per share declining for 3 consecutive years reflects deteriorating profitability
DLF,Strong Positive,4,2,355.0,175.0,180.0,30.0,PRO2,90.0,CON10,90.0,DLF shows a strong positive investment profile with a normalized score of 30.00. The analysis identifies 4 positive signals and 2 negative signals. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
DMART,Strong Positive,5,0,450.0,0.0,450.0,90.0,PRO4,95.0,,0.0,DMART shows a strong positive investment profile with a normalized score of 90.00. The analysis identifies 5 positive signals and 0 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum No qualifying negative factor was identified.
DRREDDY,Strong Positive,6,0,540.0,0.0,540.0,90.0,PRO6,95.0,,0.0,DRREDDY shows a strong positive investment profile with a normalized score of 90.00. The analysis identifies 6 positive signals and 0 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value No qualifying negative factor was identified.
EICHERMOT,Strong Positive,5,1,445.0,85.0,360.0,60.0,PRO2,90.0,CON8,85.0,EICHERMOT shows a strong positive investment profile with a normalized score of 60.00. The analysis identifies 5 positive signals and 1 negative signal. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals Key risk factor: Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
GAIL,Positive,2,1,170.0,85.0,85.0,28.33,PRO7,90.0,CON8,85.0,GAIL shows a positive investment profile with a normalized score of 28.33. The analysis identifies 2 positive signals and 1 negative signal. Key positive factor: Very high interest coverage ratio reflects negligible financial stress from debt servicing Key risk factor: Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
GODREJCP,Negative,0,1,0.0,98.0,-98.0,-98.0,,0.0,CON4,98.0,GODREJCP shows a negative investment profile with a normalized score of -98.00. The analysis identifies 0 positive signals and 1 negative signal. No qualifying positive factor was identified. Key risk factor: Company reported a net loss in the most recent financial year
GRASIM,Negative,2,3,185.0,265.0,-80.0,-16.0,PRO6,95.0,CON9,90.0,GRASIM shows a negative investment profile with a normalized score of -16.00. The analysis identifies 2 positive signals and 3 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value Key risk factor: Earnings per share declining for 3 consecutive years reflects deteriorating profitability
HAL,Strong Positive,6,1,545.0,85.0,460.0,65.71,PRO6,95.0,CON8,85.0,HAL shows a strong positive investment profile with a normalized score of 65.71. The analysis identifies 6 positive signals and 1 negative signal. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value Key risk factor: Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
HAVELLS,Strong Positive,3,0,260.0,0.0,260.0,86.67,PRO7,90.0,,0.0,HAVELLS shows a strong positive investment profile with a normalized score of 86.67. The analysis identifies 3 positive signals and 0 negative signals. Key positive factor: Very high interest coverage ratio reflects negligible financial stress from debt servicing No qualifying negative factor was identified.
HCLTECH,Strong Positive,5,0,435.0,0.0,435.0,87.0,PRO1,90.0,,0.0,HCLTECH shows a strong positive investment profile with a normalized score of 87.00. The analysis identifies 5 positive signals and 0 negative signals. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency No qualifying negative factor was identified.
HDFCBANK,Strong Positive,4,2,370.0,185.0,185.0,30.83,PRO4,95.0,CON6,95.0,HDFCBANK shows a strong positive investment profile with a normalized score of 30.83. The analysis identifies 4 positive signals and 2 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations
HDFCLIFE,Strong Positive,5,1,440.0,90.0,350.0,58.33,PRO4,95.0,CON10,90.0,HDFCLIFE shows a strong positive investment profile with a normalized score of 58.33. The analysis identifies 5 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
HEROMOTOCO,Strong Positive,5,1,435.0,85.0,350.0,58.33,PRO2,90.0,CON12,85.0,HEROMOTOCO shows a strong positive investment profile with a normalized score of 58.33. The analysis identifies 5 positive signals and 1 negative signal. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals Key risk factor: Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum
HINDALCO,Strong Positive,3,0,260.0,0.0,260.0,86.67,PRO5,90.0,,0.0,HINDALCO shows a strong positive investment profile with a normalized score of 86.67. The analysis identifies 3 positive signals and 0 negative signals. Key positive factor: Operating profit margin above 25% indicates strong pricing power and cost discipline No qualifying negative factor was identified.
HINDUNILVR,Strong Positive,4,1,360.0,85.0,275.0,55.0,PRO2,90.0,CON8,85.0,HINDUNILVR shows a strong positive investment profile with a normalized score of 55.00. The analysis identifies 4 positive signals and 1 negative signal. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals Key risk factor: Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
ICICIBANK,Strong Positive,5,2,455.0,185.0,270.0,38.57,PRO4,95.0,CON6,95.0,ICICIBANK shows a strong positive investment profile with a normalized score of 38.57. The analysis identifies 5 positive signals and 2 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations
ICICIGI,Strong Positive,5,0,440.0,0.0,440.0,88.0,PRO2,90.0,,0.0,ICICIGI shows a strong positive investment profile with a normalized score of 88.00. The analysis identifies 5 positive signals and 0 negative signals. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals No qualifying negative factor was identified.
ICICIPRULI,Strong Positive,3,1,265.0,90.0,175.0,43.75,PRO4,95.0,CON10,90.0,ICICIPRULI shows a strong positive investment profile with a normalized score of 43.75. The analysis identifies 3 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
INDIGO,Strong Positive,8,0,725.0,0.0,725.0,90.62,PRO4,95.0,,0.0,INDIGO shows a strong positive investment profile with a normalized score of 90.62. The analysis identifies 8 positive signals and 0 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum No qualifying negative factor was identified.
INDUSINDBK,Strong Positive,5,1,455.0,90.0,365.0,60.83,PRO4,95.0,CON10,90.0,INDUSINDBK shows a strong positive investment profile with a normalized score of 60.83. The analysis identifies 5 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
INFY,Strong Positive,5,0,440.0,0.0,440.0,88.0,PRO1,90.0,,0.0,INFY shows a strong positive investment profile with a normalized score of 88.00. The analysis identifies 5 positive signals and 0 negative signals. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency No qualifying negative factor was identified.
IOC,Strong Positive,4,0,355.0,0.0,355.0,88.75,PRO6,95.0,,0.0,IOC shows a strong positive investment profile with a normalized score of 88.75. The analysis identifies 4 positive signals and 0 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value No qualifying negative factor was identified.
IRCTC,Strong Positive,7,1,630.0,85.0,545.0,68.12,PRO4,95.0,CON3,85.0,IRCTC shows a strong positive investment profile with a normalized score of 68.12. The analysis identifies 7 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Operating margins declining for 3 consecutive years suggest pricing or cost pressure
IRFC,Strong Positive,5,2,460.0,185.0,275.0,39.29,PRO4,95.0,CON6,95.0,IRFC shows a strong positive investment profile with a normalized score of 39.29. The analysis identifies 5 positive signals and 2 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations
ITC,Strong Positive,6,0,530.0,0.0,530.0,88.33,PRO1,90.0,,0.0,ITC shows a strong positive investment profile with a normalized score of 88.33. The analysis identifies 6 positive signals and 0 negative signals. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency No qualifying negative factor was identified.
JINDALSTEL,Negative,0,1,0.0,85.0,-85.0,-85.0,,0.0,CON12,85.0,JINDALSTEL shows a negative investment profile with a normalized score of -85.00. The analysis identifies 0 positive signals and 1 negative signal. No qualifying positive factor was identified. Key risk factor: Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum
JIOFIN,Strong Positive,5,1,445.0,90.0,355.0,59.17,PRO3,95.0,CON10,90.0,JIOFIN shows a strong positive investment profile with a normalized score of 59.17. The analysis identifies 5 positive signals and 1 negative signal. Key positive factor: Debt-free balance sheet provides financial flexibility and eliminates interest burden Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
JSWENERGY,Neutral,3,3,275.0,260.0,15.0,2.5,PRO6,95.0,CON10,90.0,JSWENERGY shows a balanced investment profile with a normalized score of 2.50. The analysis identifies 3 positive signals and 3 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
JSWSTEEL,Strong Positive,2,0,175.0,0.0,175.0,87.5,PRO4,95.0,,0.0,JSWSTEEL shows a strong positive investment profile with a normalized score of 87.50. The analysis identifies 2 positive signals and 0 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum No qualifying negative factor was identified.
KOTAKBANK,Positive,3,2,270.0,185.0,85.0,17.0,PRO6,95.0,CON6,95.0,KOTAKBANK shows a positive investment profile with a normalized score of 17.00. The analysis identifies 3 positive signals and 2 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value Key risk factor: Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations
LICI,Strong Positive,6,0,550.0,0.0,550.0,91.67,PRO3,95.0,,0.0,LICI shows a strong positive investment profile with a normalized score of 91.67. The analysis identifies 6 positive signals and 0 negative signals. Key positive factor: Debt-free balance sheet provides financial flexibility and eliminates interest burden No qualifying negative factor was identified.
LODHA,Positive,2,1,170.0,85.0,85.0,28.33,PRO5,90.0,CON12,85.0,LODHA shows a positive investment profile with a normalized score of 28.33. The analysis identifies 2 positive signals and 1 negative signal. Key positive factor: Operating profit margin above 25% indicates strong pricing power and cost discipline Key risk factor: Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum
LT,Positive,3,2,255.0,170.0,85.0,17.0,PRO1,90.0,CON3,85.0,LT shows a positive investment profile with a normalized score of 17.00. The analysis identifies 3 positive signals and 2 negative signals. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency Key risk factor: Operating margins declining for 3 consecutive years suggest pricing or cost pressure
LTIM,Strong Positive,7,1,630.0,85.0,545.0,68.12,PRO4,95.0,CON8,85.0,LTIM shows a strong positive investment profile with a normalized score of 68.12. The analysis identifies 7 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
M&M,Positive,1,0,90.0,0.0,90.0,90.0,PRO9,90.0,,0.0,M&M shows a positive investment profile with a normalized score of 90.00. The analysis identifies 1 positive signal and 0 negative signals. Key positive factor: Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding No qualifying negative factor was identified.
MARUTI,Strong Positive,4,0,345.0,0.0,345.0,86.25,PRO2,90.0,,0.0,MARUTI shows a strong positive investment profile with a normalized score of 86.25. The analysis identifies 4 positive signals and 0 negative signals. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals No qualifying negative factor was identified.
MOTHERSON,Strong Positive,4,0,345.0,0.0,345.0,86.25,PRO2,90.0,,0.0,MOTHERSON shows a strong positive investment profile with a normalized score of 86.25. The analysis identifies 4 positive signals and 0 negative signals. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals No qualifying negative factor was identified.
NAUKRI,Strong Positive,4,1,355.0,90.0,265.0,53.0,PRO4,95.0,CON10,90.0,NAUKRI shows a strong positive investment profile with a normalized score of 53.00. The analysis identifies 4 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
NESTLEIND,Strong Positive,5,0,450.0,0.0,450.0,90.0,PRO1,90.0,,0.0,NESTLEIND shows a strong positive investment profile with a normalized score of 90.00. The analysis identifies 5 positive signals and 0 negative signals. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency No qualifying negative factor was identified.
NHPC,Neutral,3,3,270.0,260.0,10.0,1.67,PRO2,90.0,CON10,90.0,NHPC shows a balanced investment profile with a normalized score of 1.67. The analysis identifies 3 positive signals and 3 negative signals. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
NTPC,Strong Positive,2,0,170.0,0.0,170.0,85.0,PRO5,90.0,,0.0,NTPC shows a strong positive investment profile with a normalized score of 85.00. The analysis identifies 2 positive signals and 0 negative signals. Key positive factor: Operating profit margin above 25% indicates strong pricing power and cost discipline No qualifying negative factor was identified.
ONGC,Strong Positive,2,0,180.0,0.0,180.0,90.0,PRO2,90.0,,0.0,ONGC shows a strong positive investment profile with a normalized score of 90.00. The analysis identifies 2 positive signals and 0 negative signals. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals No qualifying negative factor was identified.
PFC,Neutral,2,2,180.0,185.0,-5.0,-1.25,PRO1,90.0,CON6,95.0,PFC shows a balanced investment profile with a normalized score of -1.25. The analysis identifies 2 positive signals and 2 negative signals. Key positive factor: Consistently high return on equity above 20% demonstrates exceptional capital efficiency Key risk factor: Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations
PIDILITIND,Strong Positive,2,0,170.0,0.0,170.0,85.0,PRO7,90.0,,0.0,PIDILITIND shows a strong positive investment profile with a normalized score of 85.00. The analysis identifies 2 positive signals and 0 negative signals. Key positive factor: Very high interest coverage ratio reflects negligible financial stress from debt servicing No qualifying negative factor was identified.
PNB,Positive,2,1,185.0,90.0,95.0,31.67,PRO4,95.0,CON10,90.0,PNB shows a positive investment profile with a normalized score of 31.67. The analysis identifies 2 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
POWERGRID,Strong Positive,3,0,270.0,0.0,270.0,90.0,PRO2,90.0,,0.0,POWERGRID shows a strong positive investment profile with a normalized score of 90.00. The analysis identifies 3 positive signals and 0 negative signals. Key positive factor: Strong free cash flow generation over 5 years signals healthy business fundamentals No qualifying negative factor was identified.
RECLTD,Positive,2,1,180.0,90.0,90.0,30.0,PRO5,90.0,CON2,90.0,RECLTD shows a positive investment profile with a normalized score of 30.00. The analysis identifies 2 positive signals and 1 negative signal. Key positive factor: Operating profit margin above 25% indicates strong pricing power and cost discipline Key risk factor: Free cash flow negative for 3 consecutive years raises concern about cash generation quality
RELIANCE,Neutral,1,1,90.0,90.0,0.0,0.0,PRO8,90.0,CON10,90.0,RELIANCE shows a balanced investment profile with a normalized score of 0.00. The analysis identifies 1 positive signal and 1 negative signal. Key positive factor: Consistent dividend yield above 2% backed by positive free cash flow Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
SBILIFE,Strong Positive,4,0,360.0,0.0,360.0,90.0,PRO3,95.0,,0.0,SBILIFE shows a strong positive investment profile with a normalized score of 90.00. The analysis identifies 4 positive signals and 0 negative signals. Key positive factor: Debt-free balance sheet provides financial flexibility and eliminates interest burden No qualifying negative factor was identified.
SBIN,Neutral,1,1,95.0,90.0,5.0,2.5,PRO6,95.0,CON10,90.0,SBIN shows a balanced investment profile with a normalized score of 2.50. The analysis identifies 1 positive signal and 1 negative signal. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value Key risk factor: Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
SHREECEM,Strong Positive,3,0,260.0,0.0,260.0,86.67,PRO7,90.0,,0.0,SHREECEM shows a strong positive investment profile with a normalized score of 86.67. The analysis identifies 3 positive signals and 0 negative signals. Key positive factor: Very high interest coverage ratio reflects negligible financial stress from debt servicing No qualifying negative factor was identified.
SHRIRAMFIN,Strong Positive,4,2,365.0,185.0,180.0,30.0,PRO4,95.0,CON6,95.0,SHRIRAMFIN shows a strong positive investment profile with a normalized score of 30.00. The analysis identifies 4 positive signals and 2 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations
SIEMENS,Strong Positive,4,0,355.0,0.0,355.0,88.75,PRO7,90.0,,0.0,SIEMENS shows a strong positive investment profile with a normalized score of 88.75. The analysis identifies 4 positive signals and 0 negative signals. Key positive factor: Very high interest coverage ratio reflects negligible financial stress from debt servicing No qualifying negative factor was identified.
SUNPHARMA,Strong Positive,6,0,535.0,0.0,535.0,89.17,PRO6,95.0,,0.0,SUNPHARMA shows a strong positive investment profile with a normalized score of 89.17. The analysis identifies 6 positive signals and 0 negative signals. Key positive factor: Net profit compounding at above 20% over 5 years creates significant shareholder value No qualifying negative factor was identified.
TATACONSUM,Strong Positive,4,1,370.0,85.0,285.0,57.0,PRO4,95.0,CON8,85.0,TATACONSUM shows a strong positive investment profile with a normalized score of 57.00. The analysis identifies 4 positive signals and 1 negative signal. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum Key risk factor: Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
TATAMOTORS,Strong Positive,3,0,255.0,0.0,255.0,85.0,PRO8,90.0,,0.0,TATAMOTORS shows a strong positive investment profile with a normalized score of 85.00. The analysis identifies 3 positive signals and 0 negative signals. Key positive factor: Consistent dividend yield above 2% backed by positive free cash flow No qualifying negative factor was identified.
TATAPOWER,Strong Positive,2,0,175.0,0.0,175.0,87.5,PRO4,95.0,,0.0,TATAPOWER shows a strong positive investment profile with a normalized score of 87.50. The analysis identifies 2 positive signals and 0 negative signals. Key positive factor: Revenue growing at above 15% CAGR over 5 years reflects strong business momentum No qualifying negative factor was identified.
